TrackLength,Count
0.0,99.0
5.0,56.0
10.0,38.0
15.0,29.0
20.0,18.0
25.0,14.0
30.0,7.0
35.0,11.0
40.0,11.0
45.0,12.0
50.0,7.0
55.0,14.0
60.0,9.0
65.0,7.0
70.0,6.0
75.0,5.0
80.0,11.0
85.0,6.0
90.0,7.0
95.0,3.0
100.0,2.0
105.0,5.0
110.0,10.0
115.0,6.0
120.0,5.0
125.0,6.0
130.0,3.0
135.0,6.0
140.0,9.0
145.0,6.0
150.0,6.0
155.0,6.0
160.0,2.0
165.0,7.0
170.0,1.0
175.0,4.0
180.0,4.0
185.0,4.0
190.0,6.0
195.0,2.0
200.0,1.0
205.0,5.0
210.0,9.0
215.0,6.0
220.0,8.0
225.0,5.0
230.0,8.0
235.0,6.0
240.0,12.0
245.0,8.0
250.0,7.0
255.0,5.0
260.0,1.0
265.0,4.0
270.0,5.0
275.0,5.0
280.0,3.0
285.0,3.0
290.0,0.0
295.0,1.0
300.0,3.0
305.0,1.0
310.0,1.0
315.0,1.0
320.0,1.0
325.0,2.0
330.0,1.0
335.0,1.0
340.0,1.0
345.0,0.0
350.0,1.0
355.0,0.0
360.0,0.0
365.0,0.0
370.0,1.0
375.0,0.0
380.0,1.0
385.0,0.0
390.0,0.0
395.0,0.0
400.0,0.0
405.0,0.0
410.0,0.0
415.0,0.0
420.0,0.0
425.0,0.0
430.0,0.0
435.0,0.0
440.0,0.0
445.0,0.0
450.0,0.0
455.0,0.0
460.0,0.0
465.0,0.0
470.0,0.0
475.0,0.0
480.0,0.0
485.0,0.0
490.0,0.0
495.0,0.0
